Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Fox Jack G,1.0,0.0,1.0,0.0,0.0,2008,1.0,0.0
Foxair Llc,0.0,0.0,2.0,0.0,0.0,2014,2.0,0.0
Foxfly Inc,1.0,0.0,0.0,1.0,0.0,2018,1.0,0.0
Foxworthy Rick A,1.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Foxworthy Roy,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Fpna,1.0,0.0,1.0,0.0,0.0,2022,1.0,0.0
Fpna Llc,3.0,0.0,1.0,1.0,3.0,6033,5.0,0.6
Fraker,1.0,0.0,0.0,1.0,0.0,2004,1.0,0.0
Francis,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Francis Giroux,1.0,0.0,1.0,0.0,0.0,2003,1.0,0.0
Frandsen,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Frank,1.0,0.0,0.0,1.0,1.0,2002,2.0,0.5
Frank D. Amador,1.0,0.0,2.0,0.0,0.0,2005,2.0,0.0
Frank Fitzgerald,1.0,0.0,1.0,0.0,0.0,2002,1.0,0.0
Frank M. Kopecky,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Frank Turben,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Frank Ware,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Franke Harry C,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Franke Roland,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Franke Russell J,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Franklin,4.0,2.0,1.0,1.0,1.0,8005,5.0,0.2
Franklin-Sullivan Technologies,2.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Franz,1.0,0.0,1.0,1.0,0.0,2005,2.0,0.0
Franzreb,1.0,0.0,1.0,0.0,0.0,2004,1.0,0.0
Fratus,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Frazier,2.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Frazier Robert L,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Fred B. Stencel,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
Fred Williams,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Fredenburg,1.0,2.0,0.0,0.0,0.0,1996,2.0,0.0
Frederick,2.0,1.0,1.0,0.0,1.0,4011,3.0,0.3333333333333333
Frederick Hays-Roth,0.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Frederick R Goenne,1.0,0.0,1.0,0.0,0.0,2010,1.0,0.0
Frederick Sweet,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Frederickson Charles A,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Freeman,3.0,0.0,1.0,0.0,3.0,6005,4.0,0.75
Freeman H Easton,1.0,1.0,0.0,1.0,0.0,1990,2.0,0.0
Freeman Heritage Collection,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Freije,1.0,2.0,0.0,0.0,0.0,1998,2.0,0.0
Frennance,1.0,0.0,2.0,0.0,0.0,2002,2.0,0.0
Freund,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Frew,1.0,0.0,1.0,0.0,0.0,2007,1.0,0.0
Frey,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Frick,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Friddle,1.0,0.0,0.0,1.0,0.0,2005,1.0,0.0
Friling,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Friling/Cothern,1.0,0.0,0.0,1.0,0.0,1986,1.0,0.0
Frimelt Werner Moni,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
Frisby,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
Frith,1.0,0.0,0.0,1.0,1.0,1994,2.0,0.5
Fritz,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Fritz Neumeyer,1.0,2.0,0.0,0.0,0.0,2014,2.0,0.0
Froberg,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Froehlich,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Froelich,1.0,0.0,0.0,1.0,0.0,2000,1.0,0.0
From Here To There Pdq Inc,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Fronsman,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
Frost,1.0,1.0,0.0,0.0,0.0,1996,1.0,0.0
Fudold,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Fueslein,1.0,0.0,0.0,1.0,0.0,1983,1.0,0.0
Fuhrmann-Super Emeraude,1.0,0.0,1.0,1.0,0.0,2009,2.0,0.0
Fuji,3.0,4.0,2.0,2.0,0.0,5985,8.0,0.0
Fullana,1.0,1.0,0.0,1.0,0.0,1994,2.0,0.0
Fuller Neil H,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Fuller Van L,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Fuller/Findlay,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Funk,1.0,0.0,1.0,0.0,2.0,4032,3.0,0.6666666666666666
Funk Aircraft Co.,2.0,0.0,0.0,0.0,3.0,3983,3.0,1.0
Funk Ralph,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
"Funk, D.D. Aviation Co.",4.0,0.0,5.0,1.0,1.0,7966,7.0,0.14285714285714285
Furche-Bielsko,0.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
Furey,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Furgason James E,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Furlong,1.0,0.0,1.0,0.0,0.0,2020,1.0,0.0
Furru Donald Jeffrey,1.0,0.0,1.0,0.0,1.0,2012,2.0,0.5
G Elwin Halvorsen,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
G&C Helicopters,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
G-Dawg Llc,2.0,0.0,0.0,2.0,1.0,4026,3.0,0.3333333333333333
Gable,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Gadbois,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Gadbois Eugene W,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Gadbury,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Gaddis Michael,2.0,0.0,0.0,0.0,4.0,4032,4.0,1.0
Gage,2.0,0.0,1.0,0.0,1.0,4008,2.0,0.5
Galaxy,0.0,0.0,2.0,0.0,3.0,1996,5.0,0.6
"Galaxy Balloons, Inc.",0.0,0.0,1.0,1.0,1.0,2000,3.0,0.3333333333333333
Galbraith,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Galbreath,1.0,0.0,1.0,0.0,0.0,1989,1.0,0.0
Gallager John C,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Gallagher,3.0,2.0,0.0,0.0,2.0,6033,4.0,0.5
Gallob,1.0,0.0,0.0,1.0,0.0,1999,1.0,0.0
Galloway,2.0,0.0,0.0,0.0,2.0,3973,2.0,1.0
Galloway/Ward,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Gamble,2.0,0.0,0.0,2.0,0.0,3979,2.0,0.0
Ganjoo Amit,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Gann,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Gansheimer,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Garcia Benigno,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Gardan,1.0,2.0,0.0,0.0,0.0,2011,2.0,0.0
Gardner,9.0,4.0,1.0,2.0,7.0,17956,14.0,0.5
Gardner Douglas P,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Garland,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Garlick,23.0,9.0,15.0,7.0,15.0,64153,46.0,0.32608695652173914
Garlick Helicipters Inc.,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Garlick Helicopters Inc,9.0,1.0,4.0,0.0,5.0,18121,10.0,0.5
Garlick Helicopters Inc.,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
Garlick/Guppy,1.0,0.0,1.0,0.0,0.0,1988,1.0,0.0
Garner,2.0,1.0,0.0,1.0,0.0,4003,2.0,0.0
Garnett-Robert,1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Garniss,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Garramone Mike A,1.0,0.0,0.0,1.0,1.0,2014,2.0,0.5
Garratt Mansfield W,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Garre Leo J,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Garrett,2.0,1.0,1.0,0.0,1.0,6014,3.0,0.3333333333333333
Garrett Gerald P,1.0,1.0,0.0,0.0,0.0,2008,1.0,0.0
Garrison,1.0,0.0,0.0,0.0,1.0,1995,1.0,1.0
Garrison Ronald L,1.0,0.0,1.0,0.0,0.0,2021,1.0,0.0
Garro,1.0,0.0,0.0,1.0,0.0,2001,1.0,0.0
Gary A Jamieson,1.0,0.0,1.0,0.0,0.0,2016,1.0,0.0
Gary E. Wilson,1.0,0.0,0.0,1.0,0.0,1985,1.0,0.0
Gary James Lail,1.0,0.0,0.0,2.0,0.0,2021,2.0,0.0
Gary L. Zeigler,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Gary W Bettis,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Gary Williams,1.0,0.0,1.0,0.0,0.0,1990,1.0,0.0
Gary Wilson,1.0,0.0,0.0,0.0,1.0,1983,1.0,1.0
Garza,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Gaskins,1.0,0.0,2.0,0.0,0.0,2019,2.0,0.0
Gaston Thomas D,1.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
Gaston/Lakes,1.0,0.0,0.0,2.0,0.0,1987,2.0,0.0
Gates Lear Jet,12.0,0.0,0.0,0.0,28.0,12041,28.0,1.0
Gates Lear Jet Corp.,4.0,0.0,2.0,0.0,3.0,4044,5.0,0.6
Gates Learjet,121.0,48.0,14.0,23.0,282.0,127500,367.0,0.7683923705722071
Gates Learjet Corp,2.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Gates Learjet Corp.,15.0,11.0,2.0,0.0,21.0,16107,34.0,0.6176470588235294
Gates Learjet Corporation,2.0,0.0,0.0,0.0,4.0,2009,4.0,1.0
Gatzemeyer 88,1.0,0.0,0.0,1.0,0.0,1989,1.0,0.0
Gauchat,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Gavilan,0.0,0.0,0.0,4.0,0.0,2002,4.0,0.0
Gay,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Gaynor Donald J,1.0,1.0,0.0,1.0,0.0,2009,2.0,0.0
Gearn Geary D,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Geddes,1.0,0.0,1.0,0.0,0.0,1988,1.0,0.0
Geertz,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Gefa-Flug Gmbh,1.0,0.0,0.0,1.0,0.0,2017,1.0,0.0
Geide,1.0,0.0,0.0,2.0,0.0,1996,2.0,0.0
Geiger,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Geiling,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
Geist Donald R,1.0,1.0,0.0,0.0,0.0,2022,1.0,0.0
Gelasi,1.0,0.0,2.0,0.0,0.0,2001,2.0,0.0
Geldermann Bert E,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Gemini Int'L.,4.0,0.0,2.0,0.0,1.0,3967,3.0,0.3333333333333333
General Atomics,7.0,0.0,0.0,0.0,10.0,16109,10.0,1.0
General Balloon,0.0,2.0,4.0,2.0,5.0,7961,13.0,0.38461538461538464
General Dynamics,2.0,0.0,2.0,0.0,0.0,1985,2.0,0.0
General Motors,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Gensen,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Gentry,2.0,2.0,1.0,0.0,0.0,4001,3.0,0.0
Gentry John K,1.0,1.0,0.0,1.0,0.0,2009,2.0,0.0
Geoffrion,1.0,0.0,2.0,0.0,0.0,2004,2.0,0.0
Georga L. Atwood,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
George,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
George A Chaffee,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
George A. Thiel,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
George Adrian,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
"George E Heide, Jr.",1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
George Evenson,1.0,2.0,0.0,0.0,0.0,1996,2.0,0.0
George Matthew Wagoner,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
George R. Losey,1.0,0.0,1.0,1.0,0.0,1990,2.0,0.0
George W. Felix,1.0,0.0,0.0,0.0,1.0,2019,1.0,1.0
Gera,1.0,0.0,0.0,1.0,0.0,1993,1.0,0.0
Gerald Barker,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Gerald Dan Coppock,0.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Gerald Donovan,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Gerald G. Holland,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Gerald Jones,1.0,1.0,0.0,0.0,0.0,2021,1.0,0.0
Gerald Nelson,1.0,0.0,1.0,1.0,0.0,2016,2.0,0.0
Gerdts Mark E,1.0,1.0,0.0,0.0,0.0,2016,1.0,0.0
Gerlach,1.0,0.0,0.0,0.0,2.0,2003,2.0,1.0
Germany Wetherell,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Gerner,1.0,0.0,1.0,0.0,0.0,2012,1.0,0.0
Getten Marvin T,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Gettig,1.0,0.0,0.0,0.0,1.0,1995,1.0,1.0
Gettis H. Hudson,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Ghiles,1.0,0.0,0.0,0.0,2.0,2005,2.0,1.0
Ghiles Philippe/American Ga,1.0,0.0,0.0,1.0,1.0,2003,2.0,0.5
Giackino,1.0,0.0,0.0,0.0,2.0,2001,2.0,1.0
Giackino Donald W,0.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Gibb,1.0,1.0,0.0,0.0,0.0,2019,1.0,0.0
Gibbs,3.0,1.0,2.0,0.0,5.0,6020,8.0,0.625
Giboney,1.0,0.0,1.0,0.0,0.0,2010,1.0,0.0
Gibson Mark,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Gick,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Gideon,1.0,2.0,0.0,0.0,0.0,2001,2.0,0.0
Gier Travis H,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Giertz,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Gifford,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
Gift,1.0,2.0,0.0,0.0,0.0,1995,2.0,0.0
Giger Frank R,1.0,0.0,1.0,0.0,0.0,2019,1.0,0.0
Gilbert,2.0,2.0,0.0,0.0,1.0,3988,3.0,0.3333333333333333
Gilbert L. Houston,1.0,0.0,1.0,0.0,0.0,1983,1.0,0.0
Gilbert Thomas Jeffrey,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Gilbertson,1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Gilchrist,1.0,0.0,2.0,0.0,0.0,2016,2.0,0.0
Gildersleeve,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Giles,3.0,0.0,3.0,1.0,0.0,6007,4.0,0.0
Gill Craig,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Gillespie,2.0,1.0,0.0,0.0,1.0,4000,2.0,0.5
Gillespie/Pitts,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Gillet,1.0,1.0,1.0,0.0,0.0,1995,2.0,0.0
Gillette,1.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
Gillmore,2.0,0.0,1.0,0.0,1.0,3983,2.0,0.5
Gillon,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Gilpatrick,1.0,0.0,0.0,1.0,0.0,1996,1.0,0.0
Gingerich Alton & Slagel Dean,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Gingras Michel,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Ginn,1.0,0.0,0.0,2.0,0.0,1984,2.0,0.0
Giorgio Anthony J,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Gippsaero Pty Ltd,1.0,0.0,2.0,0.0,0.0,2018,2.0,0.0
Gippsland,2.0,0.0,1.0,1.0,7.0,4033,9.0,0.7777777777777778
Girard,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Girgen,1.0,0.0,0.0,2.0,0.0,1998,2.0,0.0
Giroux,2.0,0.0,0.0,0.0,2.0,2002,2.0,1.0
Gisclair,1.0,0.0,0.0,1.0,0.0,1998,1.0,0.0
Gladstone,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Glaeser,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Glasair,24.0,17.0,3.0,7.0,9.0,50029,36.0,0.25
Glasair Aviation Llc,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Glasair Aviation Usa Llc,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Glasair Iii,1.0,0.0,0.0,1.0,0.0,1991,1.0,0.0
Glaser-Dirks,7.0,4.0,2.0,3.0,4.0,21934,13.0,0.3076923076923077
Glaser-Dirks-Flugzeubau,0.0,0.0,1.0,0.0,0.0,2002,1.0,0.0
Glasflugel,1.0,2.0,2.0,0.0,7.0,21889,11.0,0.6363636363636364
Glass Roy L,1.0,0.0,0.0,0.0,2.0,2012,2.0,1.0
Glassair,5.0,2.0,0.0,3.0,3.0,9990,8.0,0.375
Glassair Iii,1.0,2.0,0.0,0.0,0.0,1989,2.0,0.0
Glassic Composites,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Gleason,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Glen A. Senecal,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Glen Davis,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Glenn,1.0,0.0,0.0,0.0,2.0,1993,2.0,1.0
Glenn H Curtiss Museum,1.0,0.0,0.0,1.0,0.0,2010,1.0,0.0
Glenn L Smith,1.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
Glenn Timothy C,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Glimn,1.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Glines,2.0,2.0,0.0,0.0,2.0,4004,4.0,0.5
Glines Kenneth,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Globe,94.0,27.0,22.0,22.0,75.0,191707,146.0,0.5136986301369864
Globe Swift,1.0,0.0,0.0,2.0,0.0,2006,2.0,0.0
Glos Wallis Richard Jr,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Glover,2.0,0.0,0.0,1.0,2.0,4000,3.0,0.6666666666666666
"Gluff, Alan",1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Gmk Ventures Llc,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Gn-1 Aircamper,1.0,0.0,2.0,0.0,0.0,2012,2.0,0.0
Goans,1.0,1.0,0.0,0.0,0.0,1982,1.0,0.0
Goble,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Godbout,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Goddard Dick Sim,1.0,0.0,1.0,0.0,0.0,2022,1.0,0.0
Godkey,1.0,0.0,0.0,0.0,2.0,1995,2.0,1.0
Godwin,1.0,1.0,1.0,0.0,0.0,2003,2.0,0.0
Godwin Jeff E,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
"Godwin, David P",1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Goehring,1.0,0.0,1.0,0.0,0.0,1992,1.0,0.0
Goertz Bushby,1.0,0.0,0.0,0.0,2.0,1986,2.0,1.0
Goetz,2.0,0.0,0.0,0.0,2.0,4021,2.0,1.0
Goff,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Goiden Circle,1.0,0.0,1.0,0.0,0.0,2004,1.0,0.0
Goins,1.0,0.0,1.0,0.0,0.0,1998,1.0,0.0
Golden,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Golden Circle,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Golden Circle Air,3.0,1.0,1.0,0.0,3.0,8056,5.0,0.6
Golden Circle Air Inc,1.0,0.0,0.0,1.0,0.0,2015,1.0,0.0
"Golden Circle Air, Inc.",1.0,0.0,2.0,0.0,0.0,2004,2.0,0.0
Golden Eagle,2.0,0.0,0.0,0.0,3.0,4024,3.0,1.0
Goldman,1.0,0.0,0.0,1.0,0.0,2003,1.0,0.0
Goldwing,2.0,1.0,0.0,0.0,1.0,3966,2.0,0.5
Golias,1.0,0.0,0.0,0.0,2.0,2002,2.0,1.0
Golightly,1.0,1.0,0.0,0.0,0.0,1993,1.0,0.0
"Golightly, Robert B.",1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Gomory,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Gonzalez Manuel A,1.0,0.0,1.0,0.0,0.0,2016,1.0,0.0
Good,2.0,1.0,0.0,0.0,1.0,3987,2.0,0.5
Goodacre,1.0,0.0,3.0,0.0,0.0,2009,3.0,0.0
Goode,2.0,0.0,0.0,1.0,2.0,3999,3.0,0.6666666666666666
Goodlett,1.0,0.0,0.0,1.0,0.0,2005,1.0,0.0
Goodman Robert Bruce,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Goodsell Lynn A,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Goodwin,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Goodyear,7.0,1.0,0.0,1.0,5.0,9985,7.0,0.7142857142857143
Goodyear Aerospace,2.0,0.0,1.0,0.0,4.0,1998,5.0,0.8
Gordon,4.0,1.0,0.0,1.0,3.0,7991,5.0,0.6
Gordon E. Brown,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
Gordon Price,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
Gordon R Smith,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Gordon Scot A,1.0,0.0,0.0,1.0,1.0,2021,2.0,0.5
Gordorn Price,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Goss,1.0,0.0,1.0,0.0,0.0,1990,1.0,0.0
Gossard Ronald F,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Gosselin Charles,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Gothard,1.0,0.0,0.0,1.0,0.0,2004,1.0,0.0
Gottelt Herbert R,1.0,0.0,1.0,1.0,0.0,2009,2.0,0.0
Gottschalk John R,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Goudie,1.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Gough-Herrman,1.0,2.0,0.0,0.0,0.0,1998,2.0,0.0
Government Aircraft Fact (Gaf),10.0,5.0,0.0,2.0,23.0,11949,30.0,0.7666666666666667
Gowan,1.0,0.0,0.0,1.0,0.0,1997,1.0,0.0
Grace,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Graff Wilbur C,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Grafton,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Graham,3.0,1.0,0.0,0.0,2.0,5999,3.0,0.6666666666666666
Grahn J/Grahn G,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Graichen,1.0,2.0,0.0,0.0,0.0,1995,2.0,0.0
Grandman,0.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Granger Michael D,0.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Grau,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Graves,1.0,2.0,0.0,0.0,0.0,2013,2.0,0.0
Graves Bryon S,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Gray,7.0,2.0,1.0,6.0,3.0,13979,12.0,0.25
Gray Jack,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Gray Jerry,1.0,2.0,0.0,0.0,0.0,2003,2.0,0.0
Gray Jim Robert,2.0,0.0,0.0,0.0,2.0,4033,2.0,1.0
Gray Miniplane,1.0,1.0,0.0,0.0,0.0,1996,1.0,0.0
Grazhopper,1.0,1.0,1.0,0.0,0.0,2014,2.0,0.0
Grazier,1.0,1.0,0.0,0.0,0.0,1996,1.0,0.0
Great Lakes,62.0,11.0,10.0,9.0,72.0,129769,102.0,0.7058823529411765
Great Lakes Adams,1.0,1.0,1.0,0.0,0.0,1987,2.0,0.0
Great Lakes Aircraft Company,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Greco,1.0,0.0,0.0,1.0,1.0,2008,2.0,0.5
Greco Bruno,2.0,0.0,0.0,0.0,2.0,1987,2.0,1.0
Green,4.0,1.0,2.0,0.0,1.0,7977,4.0,0.25
Green Castle,1.0,1.0,1.0,0.0,0.0,1996,2.0,0.0
Green Gary E,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Green L/Gilner D,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Green-Fowler,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Greene R/Greene S,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
"Greenhaw, William",1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Greenleaf,1.0,0.0,0.0,1.0,0.0,2000,1.0,0.0
Greer,1.0,2.0,0.0,0.0,0.0,1985,2.0,0.0
Greg Connell,1.0,1.0,0.0,0.0,0.0,2016,1.0,0.0
Greg Grouleff,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Greg Hobbs,1.0,2.0,0.0,0.0,0.0,2022,2.0,0.0
Greg Miller,0.0,0.0,0.0,0.0,1.0,2020,1.0,1.0
Greg Smith,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Gregg,1.0,0.0,0.0,1.0,0.0,1982,1.0,0.0
Gregg Origer,1.0,1.0,0.0,1.0,0.0,2021,2.0,0.0
Gregory Newman,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
Gregory S Miller,1.0,0.0,1.0,0.0,1.0,2022,2.0,0.5
Gremminger,2.0,0.0,2.0,0.0,1.0,3992,3.0,0.3333333333333333
Gremminger Greg,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Grenier,2.0,0.0,0.0,0.0,2.0,4009,2.0,1.0
Grenier Raymond,2.0,0.0,1.0,0.0,3.0,4027,4.0,0.75
Greth,1.0,0.0,0.0,0.0,2.0,1992,2.0,1.0
Gribosh,1.0,1.0,0.0,0.0,0.0,1988,1.0,0.0
Grice,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Grieme,1.0,0.0,1.0,1.0,0.0,1983,2.0,0.0
Griff,1.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Griffin,4.0,3.0,0.0,0.0,1.0,7952,4.0,0.25
Griffin Trane Inc.,1.0,0.0,0.0,0.0,2.0,1984,2.0,1.0
