Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Southern Airmotive Corp.,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Southern Powered Parachute,1.0,0.0,1.0,1.0,0.0,2011,2.0,0.0
Southern Powered Parachutes,1.0,0.0,0.0,1.0,0.0,2008,1.0,0.0
Southwest Florida Aviation,3.0,1.0,0.0,0.0,2.0,5995,3.0,0.6666666666666666
Southworth,1.0,0.0,0.0,1.0,0.0,2002,1.0,0.0
Soward,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Spackman,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Spagnoletti,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Spane,1.0,1.0,1.0,0.0,0.0,2006,2.0,0.0
Spangenberg,1.0,0.0,1.0,0.0,0.0,2022,1.0,0.0
Spani Wayne M,1.0,0.0,0.0,0.0,3.0,2017,3.0,1.0
Spannagel,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Spark/Acroduster,1.0,0.0,2.0,0.0,0.0,1990,2.0,0.0
Sparke,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Sparks,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Sparks Ralph A,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Sparrow Hawk,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Sparrowhawk,1.0,0.0,0.0,0.0,1.0,2020,1.0,1.0
Spartan,3.0,0.0,0.0,0.0,6.0,5995,6.0,1.0
Spaulding,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Spaulding Errol,1.0,0.0,0.0,1.0,1.0,2015,2.0,0.5
Spaur Charles,1.0,0.0,1.0,0.0,1.0,2022,2.0,0.5
Spearman,1.0,2.0,0.0,0.0,0.0,2005,2.0,0.0
Spears,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Spectrum,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Spectrum Aeronautical Llc,2.0,2.0,0.0,0.0,0.0,2006,2.0,0.0
Spegele,1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
